Category,Year,Abundance,Spawners,Spawners,Abundance,Recruitment,Catch,Catch,Fmort,Fmort,
Primary,,N,Y,N,N,Y,Y,N,Y,N,
Description,,Total Biomass,Spawning Output(Eggs),Female Mature Relative Spawning Biomass SSB/SSB0,Age 0+ biomass,Abundance at Age 0,Modeled Total Catch,Modeled Total Catch,1-SPR,Relative Exploitation Rate (Catch/Age 0+ biomass),
Unit,,Metric Tons,Billions of eggs,Rate,Metric Tons,Number x 1000,Metric Tons,Number x 1000,Rate,Rate,
,1940,8704.38,943.88,1,8704.38,1959.45,5.35,2.75,0.009,0.001,NA
,1941,8700.13,942.84,0.999,8700.13,1959.24,12.8,6.72,0.021,0.001,NA
,1942,8690.36,940.5,0.996,8690.36,1958.76,22.45,11.56,0.037,0.003,NA
,1943,8674.06,936.48,0.992,8674.06,1957.95,78.04,41.28,0.117,0.009,NA
,1944,8614.79,922.42,0.977,8614.79,1955.03,104.72,53.94,0.152,0.012,NA
,1945,8541.5,904.36,0.958,8541.5,1951.16,180.49,95.75,0.237,0.021,NA
,1946,8414.88,874.39,0.926,8414.88,1944.43,89.39,46.27,0.138,0.011,NA
,1947,8375.66,864.08,0.915,8375.66,1942.02,74.43,38.57,0.12,0.009,NA
,1948,8352.45,857.96,0.909,8352.45,1940.56,51.33,26.63,0.087,0.006,NA
,1949,8349.8,857.12,0.908,8349.8,1940.36,42.19,22.06,0.072,0.005,NA
,1950,8354.19,858.44,0.909,8354.19,1940.68,56.88,30.79,0.095,0.007,NA
,1951,8345.44,857.37,0.908,8345.44,1940.42,49.99,27.31,0.084,0.006,NA
,1952,8342.58,857.76,0.909,8342.58,1940.51,186.3,99.72,0.252,0.022,NA
,1953,8230.97,833.16,0.883,8230.97,1934.46,46.16,25.59,0.08,0.006,NA
,1954,8242.69,836.3,0.886,8242.69,1935.25,60.17,34.33,0.102,0.007,NA
,1955,8240.94,836.98,0.887,8240.94,1935.42,65.37,37.16,0.109,0.008,NA
,1956,8172.33,836.63,0.886,8172.33,1131.98,111.58,63.63,0.173,0.014,NA
,1957,8020.8,828.22,0.877,8020.8,1105.87,113.91,65.11,0.178,0.014,NA
,1958,7828.26,820.06,0.869,7828.26,1100.55,147.85,81.74,0.22,0.019,NA
,1959,7579.55,806.1,0.854,7579.55,1123.69,145.35,82.25,0.22,0.019,NA
,1960,7318.32,794.08,0.841,7318.32,1183.66,136.8,74.35,0.212,0.019,NA
,1961,7067.88,783.09,0.83,7067.88,1284.24,179.06,102.96,0.264,0.025,NA
,1962,6797.11,764.45,0.81,6797.11,1405.8,123.87,72.38,0.204,0.018,NA
,1963,6599.06,752.38,0.797,6599.06,1464.4,85.27,50.79,0.152,0.013,NA
,1964,6450.7,742.06,0.786,6450.7,1377.63,78.29,45.67,0.144,0.012,NA
,1965,6319.34,727.35,0.771,6319.34,1284.22,101.78,63.32,0.186,0.016,NA
,1966,6178.47,705.08,0.747,6178.47,1302.4,103.57,61.75,0.192,0.017,NA
,1967,6072.84,679.79,0.72,6072.84,1581.67,84.64,49.7,0.167,0.014,NA
,1968,6045.91,657.73,0.697,6045.91,2024.53,93.81,57.21,0.188,0.016,NA
,1969,6017.14,636.09,0.674,6017.14,1491.41,92.71,57.09,0.19,0.015,NA
,1970,6000.87,617.22,0.654,6000.87,1432.33,87.27,54.54,0.185,0.015,NA
,1971,6016.73,602.1,0.638,6016.73,1710.04,82.38,52.27,0.179,0.014,NA
,1972,6039.79,590.43,0.626,6039.79,1544.07,93.47,58.41,0.201,0.015,NA
,1973,6113.22,579.48,0.614,6113.22,2256.5,90.15,57.09,0.196,0.015,NA
,1974,6241.17,572.81,0.607,6241.17,2404.68,88.25,56.75,0.193,0.014,NA
,1975,6326.52,570.26,0.604,6326.52,1266.07,96.96,62.46,0.209,0.015,NA
,1976,6410.39,569.29,0.603,6410.39,1661.6,207.52,116.48,0.359,0.032,NA
,1977,6384.34,549.7,0.582,6384.34,1467.29,204.23,125.29,0.365,0.032,NA
