SAIP:,https://spo.nmfs.noaa.gov/sites/default/files/TMSPO183.pdf

Stock / Entity Name,Canary Rockfish
Assessment Type,Operational
Ensemble/Multimodel Approach,NA
Asmt Year and Month,2023.07
Last Data Year,2022
Asmt Model Category,6 - Statistical Catch-at-Age (SS, ASAP, AMAK, BAM, MultifancL< CASAL)
Asmt Model Category,SS
Model Version,3.30.21.00
Lead Lab,NWFSC
Point of Contact (assessment lead),Brian.Langseth@noaa.gov
Review Result,Full Acceptance
Catch Input Data,5.Near complete knowledge
Abundance Input Data,4.Comprehensive fishery independent
Biological Input Data,3.Mostly empirical estimates
Size/Age Composition Input Data,4.Supports fishery composition
Ecosystem Linkage,2.Random variation not mechanistic

Fishing Mortality Estimates
F Year, 2022
Min F Estimate, 
Max F Estimate, 
Best F Estimate, 0.469
F Basis, Equilibrium SPR
F Unit, 1-SPR

Domestic Fishing Mortality Derive Management Quantities
Flimit, 0.5
Flimit Basis, 1-SPR_SPR50%
FMSY, 0.5
FMSY Basis, 1-SPR_SPR50%
F target, 
F target Basis, 
F/F_limit, 0.938
F/F_MSY, 0.938
F/F_target, 

Biomass Estimates
B Year, 2023
Min B. Estimate, 
Max. B Estimate, 
Best B Estimate, 2808.9
B Basis, Stock Reproductive Output
B Unit, Millions of eggs
MSY, 1152
MSY Unit, mt

Domestic Biomass Derived Management Quantities
Blimit, 2002.2
Blimit Basis, SSB25%
BMSY, 3203.5
BMSY Basis, SSB40%
B/Blimit, 1.403
B/Bmsy, 0.877
Stock Level (relative) to BMSY, BELOW


