Category,Year,Abundance,Spawners,Spawners,Abundance,Recruitment,Catch,Catch,Fmort,Fmort,Fmort
Primary,,N,Y,N,N,Y,Y,N,N,Y,N
Description,,Total Biomass,Spawning Output(Eggs),Female Mature Relative Spawning Biomass SSB/SSB0,Age 3+ biomass,Abundance at Age 0,Modeled Total Catch,Modeled Total Catch,_abs_F,1-SPR,Relative Exploitation Rate (Catch/Age 3+ biomass)
Unit,,Metric Tons,Billions of eggs,Rate,Metric Tons,Number x 1000,Metric Tons,Number x 1000,Rate,Rate,Rate
,1916,4469.44,457,1.002,4443.9,540.38,3.97,2.39,9e-04,0.012,0.001
,1917,4467.35,456.71,1.001,4441.8,540.87,6.23,3.76,0.0014,0.019,0.001
,1918,4463.43,456.21,1,4437.85,541.38,7.5,4.52,0.0017,0.023,0.002
,1919,4458.76,455.61,0.999,4433.15,541.92,4.91,2.96,0.0011,0.015,0.001
,1920,4457.07,455.34,0.998,4431.43,542.55,5.06,3.06,0.0011,0.016,0.001
,1921,4455.65,455.08,0.998,4429.99,543.23,4.31,2.61,0.001,0.013,0.001
,1922,4455.38,454.96,0.998,4429.69,543.99,3.7,2.24,8e-04,0.012,0.001
,1923,4456.08,454.94,0.998,4430.35,544.82,3.89,2.35,9e-04,0.012,0.001
,1924,4456.96,454.94,0.998,4431.2,545.73,2.57,1.55,6e-04,0.008,0.001
,1925,4459.46,455.12,0.998,4433.66,546.72,3.84,2.32,9e-04,0.012,0.001
,1926,4461.05,455.2,0.998,4435.2,547.79,4.89,2.96,0.0011,0.015,0.001
,1927,4462.01,455.2,0.998,4436.11,548.93,3.64,2.2,8e-04,0.011,0.001
,1928,4464.58,455.37,0.999,4438.63,550.19,5.21,3.43,0.0012,0.017,0.001
,1929,4465.95,455.42,0.999,4439.95,551.72,6.18,4.28,0.0014,0.02,0.001
,1930,4466.74,455.41,0.999,4440.68,553.39,8.96,6.05,0.002,0.029,0.002
,1931,4465.35,455.14,0.998,4439.21,555.18,11.15,7.59,0.0025,0.036,0.003
,1932,4462.48,454.69,0.997,4436.26,557.12,11.73,8.16,0.0026,0.038,0.003
,1933,4459.8,454.24,0.996,4433.49,559.22,12.11,8.6,0.0027,0.04,0.003
,1934,4457.58,453.82,0.995,4431.18,561.49,12.01,8.76,0.0027,0.04,0.003
,1935,4456.34,453.5,0.994,4429.84,564.01,15.35,11,0.0035,0.05,0.003
,1936,4452.87,452.9,0.993,4426.26,566.69,16.09,11.68,0.0036,0.053,0.004
,1937,4449.83,452.32,0.992,4423.1,569.59,18.78,13.67,0.0042,0.062,0.004
,1938,4445.43,451.57,0.99,4418.57,572.76,17.93,13.13,0.0041,0.059,0.004
,1939,4443.31,451.03,0.989,4416.31,576.3,16.05,11.73,0.0036,0.053,0.004
,1940,4444.59,450.82,0.989,4417.44,580.32,20.78,15.48,0.0047,0.069,0.005
,1941,4442.66,450.27,0.987,4415.33,584.86,19.96,14.79,0.0045,0.066,0.005
,1942,4443.29,449.94,0.987,4415.76,590.07,9.64,7.28,0.0022,0.033,0.002
,1943,4455.95,450.85,0.989,4428.2,596.13,10.4,7.69,0.0023,0.035,0.002
,1944,4469.55,451.84,0.991,4441.54,602.84,14.81,10.15,0.0033,0.047,0.003
,1945,4480.76,452.5,0.992,4452.46,610,29.6,19.58,0.0066,0.09,0.007
,1946,4479.92,451.79,0.991,4451.3,617.23,38.03,25.85,0.0085,0.114,0.009
,1947,4473.6,450.43,0.988,4444.64,624.27,18.34,13.28,0.0041,0.059,0.004
,1948,4489.47,451.45,0.99,4460.16,631.2,31.93,23.69,0.0072,0.101,0.007
,1949,4494.45,451.3,0.99,4464.82,637.07,34.12,26.3,0.0076,0.109,0.008
,1950,4500.04,451.22,0.989,4470.09,641.77,39.31,30.72,0.0088,0.125,0.009
,1951,4503.41,450.88,0.989,4473.19,645.29,53.91,42.01,0.0121,0.166,0.012
,1952,4495.5,449.33,0.985,4465.08,647.96,45.06,35.52,0.0101,0.142,0.01
,1953,4499.71,449,0.985,4469.13,651.36,36.3,29.04,0.0081,0.117,0.008
,1954,4515.6,449.92,0.987,4484.89,656.39,46.94,37.3,0.0105,0.147,0.01
,1955,4523.4,450.08,0.987,4492.51,662.46,52.4,42.34,0.0117,0.163,0.012
,1956,4527.96,450.02,0.987,4496.81,670.9,60.11,48.36,0.0134,0.183,0.013
,1957,4527.16,449.44,0.986,4495.71,670.24,58.27,46.85,0.013,0.178,0.013
,1958,4530.73,449.28,0.985,4498.99,670.41,99.22,80.13,0.0221,0.279,0.022
,1959,4495.54,445.22,0.976,4463.81,674.07,80.28,64.86,0.018,0.236,0.018
,1960,4482.55,443.24,0.972,4450.76,690.42,68.3,54.46,0.0153,0.204,0.015
,1961,4484.73,442.72,0.971,4452.6,725.66,51.06,40.86,0.0115,0.158,0.011
,1962,4507.38,444.28,0.974,4474.24,774.73,63.56,52.44,0.0142,0.194,0.014
,1963,4521.28,444.96,0.976,4486.32,816.74,79.29,65.85,0.0177,0.234,0.018
,1964,4525.35,444.31,0.974,4488.11,885.26,70.73,60.31,0.0158,0.215,0.016
,1965,4547.21,444.78,0.975,4507.63,1000.31,104.92,90.06,0.0233,0.296,0.023
,1966,4547.5,442.22,0.97,4504.17,1098.85,121.03,105.34,0.0269,0.331,0.027
,1967,4549.71,438.69,0.962,4501.28,1069.67,128.37,114.26,0.0285,0.347,0.029
