SAIP:,https://spo.nmfs.noaa.gov/sites/default/files/TMSPO183.pdf

Stock / Entity Name,Copper_SCA
Assessment Type,Operational
Ensemble/Multimodel Approach,NA
Asmt Year and Month,2023.05
Last Data Year,2022
Asmt Model Category,6 - Statistical Catch-at-Age (SS, ASAP, AMAK, BAM, MultifancL< CASAL)
Asmt Model Category,SS
Model Version,3.30.21.00
Lead Lab,NWFSC
Point of Contact (assessment lead),Chantel.Wetzel@noaa.gov
Review Result,Full Acceptance
Catch Input Data,4.Minor gaps in some sector(s)
Abundance Input Data,3.Limited fishery independent
Biological Input Data,3.Mostly empirical estimates
Size/Age Composition Input Data,3.Gaps but supports age-structured assessment
Ecosystem Linkage,1.Informative or used to process input data

Fishing Mortality Estimates
F Year, 2022
Min F Estimate, 
Max F Estimate, 
Best F Estimate, 0.56
F Basis, Equilibrium SPR
F Unit, 1-SPR

Domestic Fishing Mortality Derive Management Quantities
Flimit, 0.5
Flimit Basis, 1-SPR_SPR50%
FMSY, 0.5
FMSY Basis, 1-SPR_SPR50%
F target, 
F target Basis, 
F/F_limit, 1.12
F/F_MSY, 1.12
F/F_target, 

Biomass Estimates
[Unfished Spawning Biomass], 201.1
B Year, 2023
Min B. Estimate, 
Max. B Estimate, 
Best B Estimate, 32.1
B Basis, Stock Reproductive Output
B Unit, Billions of eggs
MSY, 50
MSY Unit, mt

Domestic Biomass Derived Management Quantities
Blimit, 50.3
Blimit Basis, SSB25%
BMSY, 80.4
BMSY Basis, SSB40%
B/Blimit, 0.638
B/Bmsy, 0.399
Stock Level (relative) to BMSY, BELOW


