Category,Year,Abundance,Spawners,Spawners,Abundance,Recruitment,Catch,Catch,Fmort,Fmort
Primary,,N,Y,N,N,Y,Y,N,Y,N
Description,,Total Biomass,Spawning Output(Eggs),Female Mature Relative Spawning Biomass SSB/SSB0,Age 3+ biomass,Abundance at Age 0,Modeled Total Catch,Modeled Total Catch,1-SPR,Relative Exploitation Rate (Catch/Age 3+ biomass)
Unit,,Metric Tons,Trillions of eggs,Rate,Metric Tons,Number x 1000,Metric Tons,Number x 1000,Rate,Rate
,1876,42648.7,22.91,1,42198,15361.6,1.01,1.17,0,0
,1877,42647.8,22.91,1,42197.1,15361.6,1.01,1.17,0,0
,1878,42647.1,22.91,1,42196.3,15361.7,1.01,1.17,0,0
,1879,42646.6,22.91,1,42195.8,15361.7,1.01,1.17,0,0
,1880,42646.4,22.9,1,42195.6,15361.7,11.67,13.51,0.003,0
,1881,42636.7,22.9,1,42185.9,15361.5,22.33,25.86,0.006,0.001
,1882,42618.3,22.89,0.999,42167.5,15361.1,32.99,38.21,0.008,0.001
,1883,42591.9,22.87,0.998,42141.1,15360.5,43.65,50.56,0.011,0.001
,1884,42558.2,22.85,0.997,42107.4,15359.7,54.31,62.92,0.013,0.001
,1885,42517.8,22.82,0.996,42067.1,15358.8,64.97,75.28,0.016,0.002
,1886,42471.6,22.79,0.995,42020.8,15357.6,75.63,87.65,0.019,0.002
,1887,42419.9,22.76,0.994,41969.2,15356.4,86.29,100.03,0.021,0.002
,1888,42363.5,22.72,0.992,41912.8,15355,96.95,112.42,0.024,0.002
,1889,42302.8,22.68,0.99,41852.2,15353.5,107.62,124.83,0.026,0.003
,1890,42238.3,22.64,0.988,41787.7,15351.8,118.28,137.24,0.029,0.003
,1891,42170.3,22.6,0.987,41719.8,15350.1,128.94,149.67,0.032,0.003
,1892,42099.4,22.55,0.984,41648.9,15348.4,139.61,162.11,0.034,0.003
,1893,42025.7,22.5,0.982,41575.2,15346.5,150.28,174.58,0.037,0.004
,1894,41949.6,22.45,0.98,41499.2,15344.6,160.94,187.05,0.04,0.004
,1895,41871.4,22.4,0.978,41421,15342.7,171.61,199.53,0.042,0.004
,1896,41791.2,22.35,0.976,41340.9,15340.7,182.52,212.25,0.045,0.004
,1897,41709.2,22.29,0.973,41259,15338.7,193.14,224.72,0.047,0.005
,1898,41625.7,22.24,0.971,41175.5,15336.7,203.76,237.22,0.05,0.005
,1899,41540.9,22.18,0.968,41090.8,15334.7,214.42,249.76,0.053,0.005
