Category,Year,Abundance,Spawners,Spawners,Abundance,Recruitment,Catch,Catch,Fmort,Fmort,Fmort
Primary,,N,Y,N,N,Y,Y,N,N,N,Y
Description,,Total Biomass,Spawning Output(Eggs),Female Mature Relative Spawning Biomass SSB/SSB0,Age 1+ biomass,Abundance at Age 0,Modeled Total Catch,Modeled Total Catch,(1-SPR)/(1-SPR_50%),Relative Exploitation Rate (Catch/Age 1+ biomass),1 - SPR
Unit,,Metric Tons,Millions of eggs,Rate,Metric Tons,Number x 1000,Metric Tons,Number x 1000,Rate,Rate,Rate
,1901,216876,22145.3,1,216864,12738.9,0.11,0.1,0,0,0
,1902,216877,22145.3,1,216866,12742.4,0.14,0.12,0,0,0
,1903,216879,22145.3,1,216867,12741.4,0.16,0.15,0,0,0
,1904,216882,22145.3,1,216870,12724.2,0.19,0.17,0,0,0
,1905,216885,22145.3,1,216873,12705.1,0.21,0.19,0,0,0
,1906,216888,22145.3,1,216876,12697.6,0.24,0.22,0,0,0
,1907,216892,22145.3,1,216880,12690.3,0.27,0.24,0,0,0
,1908,216897,22145.2,1,216885,12672.9,0.29,0.26,0,0,0
,1909,216902,22145.3,1,216890,12660.7,0.32,0.29,0,0,0
,1910,216908,22145.3,1,216896,12635.9,0.34,0.31,0,0,0
,1911,216914,22145.3,1,216902,12627.9,0.37,0.33,0,0,0
,1912,216921,22145.3,1,216909,12659.9,0.39,0.35,0,0,0
,1913,216928,22145.4,1,216917,12702.9,0.42,0.38,0,0,0
,1914,216937,22145.5,1,216925,12713.5,0.44,0.4,0,0,0
,1915,216946,22145.6,1,216934,12654.6,0.47,0.42,0,0,0
,1916,216956,22145.7,1,216944,12639.6,0.49,0.44,0,0,0
,1917,216966,22145.9,1,216954,12632,0.52,0.47,0,0,0
,1918,216977,22146.1,1,216965,12616.9,0.54,0.49,0,0,0
,1919,216988,22146.4,1,216976,12638.2,0.57,0.51,0,0,0
,1920,216999,22146.8,1,216988,12599.4,0.59,0.54,0,0,0
,1921,217011,22147.1,1,217000,12522.3,0.62,0.56,0,0,0
,1922,217023,22147.6,1,217012,12551.3,0.65,0.58,0,0,0
,1923,217035,22148.1,1,217024,12541.4,0.67,0.61,0,0,0
,1924,217047,22148.7,1,217035,12522,0.7,0.63,0,0,0
,1925,217059,22149.4,1,217047,12502.1,0.72,0.65,0,0,0
,1926,217070,22150.1,1,217059,12482.1,0.75,0.68,0,0,0
,1927,217081,22150.9,1,217070,12462.6,0.77,0.7,0,0,0
,1928,217092,22151.8,1,217080,12444.3,1.29,1.17,0.001,0,0
,1929,217101,22152.7,1,217089,12428,2.05,1.85,0.001,0,0.001
,1930,217108,22153.5,1,217097,12414.4,1.71,1.55,0.001,0,0.001
,1931,217115,22154.5,1,217104,12404.4,1.4,1.27,0.001,0,0
,1932,217121,22155.5,1,217110,12398.7,0.52,0.47,0,0,0
,1933,217127,22156.6,1.001,217116,12397.9,0.77,0.69,0,0,0
,1934,217131,22157.8,1.001,217120,12402.3,6.04,10.67,0.005,0,0.003
,1935,217129,22158.5,1.001,217117,12411.9,7.98,14.41,0.007,0,0.003
,1936,217122,22159.1,1.001,217111,12426.1,4.85,7.45,0.004,0,0.002
,1937,217118,22159.9,1.001,217106,12443.7,7.92,13.33,0.006,0,0.003
,1938,217108,22160.4,1.001,217097,12462.5,8,13.6,0.007,0,0.003
,1939,217098,22160.9,1.001,217086,12479.3,7.09,13.01,0.006,0,0.003
,1940,217086,22161.5,1.001,217075,12489.9,3.3,4.27,0.002,0,0.001
,1941,217078,22162.2,1.001,217066,12489,5.87,7.86,0.004,0,0.002
,1942,217065,22162.7,1.001,217054,12470.3,6.74,8.04,0.005,0,0.002
,1943,217050,22163,1.001,217039,12426.9,18.24,21.59,0.013,0,0.006
,1944,217021,22162.2,1.001,217010,12352.3,9.59,14.99,0.008,0,0.004
,1945,217000,22162,1.001,216988,12240.9,9.05,15.38,0.008,0,0.004
,1946,216976,22161.8,1.001,216965,12089.1,7.32,11.94,0.006,0,0.003
,1947,216952,22161.6,1.001,216941,11895.8,7.24,11.99,0.006,0,0.003
,1948,216924,22161.2,1.001,216913,11663.4,19.03,32.43,0.016,0,0.008
,1949,216879,22159.7,1.001,216868,11396.9,18.37,31.98,0.015,0,0.008
,1950,216829,22158.1,1.001,216819,11104.4,10.2,17.09,0.008,0,0.004
,1951,216781,22157,1.001,216771,10784.3,15.54,26.69,0.013,0,0.006
,1952,216719,22155.2,1,216710,10458.9,18.7,32.56,0.016,0,0.008
,1953,216645,22153,1,216635,10138.4,7.12,12.68,0.006,0,0.003
,1954,216571,22151.4,1,216562,9832.16,149.5,261.37,0.123,0.001,0.061
,1955,216331,22137.8,1,216322,9548.17,89.35,156.51,0.075,0,0.037
,1956,216140,22128.7,0.999,216132,9294.48,184.48,321.87,0.151,0.001,0.076
,1957,215830,22111.3,0.998,215821,9077.28,85.17,147.41,0.071,0,0.036
,1958,215608,22101.4,0.998,215599,8903.07,47.67,83.55,0.041,0,0.02
,1959,215407,22094.2,0.998,215399,8777.62,74.69,132.42,0.064,0,0.032
,1960,215157,22084.3,0.997,215149,8707.71,209.37,376.6,0.176,0.001,0.088
,1961,214739,22062.8,0.996,214731,8700.93,101.87,179.82,0.087,0,0.044
,1962,214414,22049.1,0.996,214406,8766.78,157.67,279.4,0.134,0.001,0.067
,1963,214006,22030.1,0.995,213998,8915.31,260.51,462.52,0.219,0.001,0.109
,1964,213462,22001.7,0.994,213454,9156.11,228.07,399.14,0.193,0.001,0.096
,1965,212930,21974.6,0.992,212921,9495.24,385.26,672.14,0.316,0.002,0.158
,1966,212202,21933.1,0.99,212193,9930.82,1419.32,2397.77,0.926,0.007,0.463
,1967,210327,21802.8,0.985,210318,10444.7,1455.7,2475.84,0.956,0.007,0.478
,1968,208376,21665.7,0.978,208366,11011,2307.78,3955.42,1.294,0.011,0.647
,1969,205459,21453,0.969,205448,11587.1,758.09,1274.49,0.594,0.004,0.297
