Category,Year,Abundance,Spawners,Spawners,Abundance,Recruitment,Catch,Catch,Fmort,Fmort
Primary,,N,Y,N,N,Y,Y,N,Y,N
Description,,Total Biomass,Spawning Output(Eggs),Female Mature Relative Spawning Biomass SSB/SSB0,Age 3+ biomass,Abundance at Age 0,Modeled Total Catch,Modeled Total Catch,1-SPR,Relative Exploitation Rate (Catch/Age 3+ biomass)
Unit,,Metric Tons,Billions of eggs,Rate,Metric Tons,Number x 1000,Metric Tons,Number x 1000,Rate,Rate
,1916,525.09,97.08,1,522.33,45,0.01,0.01,0.001,0
,1917,525.08,97.08,1,522.32,44.99,0.03,0.03,0.001,0
,1918,525.04,97.07,1,522.28,44.99,0.07,0.06,0.003,0
,1919,524.97,97.06,1,522.21,44.99,0.02,0.01,0.001,0
,1920,524.96,97.06,1,522.2,44.99,0.02,0.02,0.001,0
,1921,524.94,97.05,1,522.18,44.99,0.03,0.03,0.001,0
,1922,524.92,97.05,1,522.16,44.99,0.03,0.02,0.001,0
,1923,524.9,97.04,1,522.14,44.99,0.01,0.01,0,0
,1924,524.9,97.04,1,522.14,44.99,0.02,0.02,0.001,0
,1925,524.88,97.04,1,522.12,44.99,0.07,0.06,0.003,0
,1926,524.82,97.03,0.999,522.06,44.99,0.07,0.06,0.003,0
,1927,524.76,97.01,0.999,522,44.99,0.14,0.12,0.006,0
,1928,524.64,96.99,0.999,521.88,44.99,0.18,0.15,0.008,0
,1929,524.48,96.96,0.999,521.72,44.99,0.23,0.2,0.01,0
,1930,524.27,96.91,0.998,521.51,44.99,0.32,0.27,0.013,0.001
,1931,523.99,96.86,0.998,521.23,44.98,0.43,0.37,0.018,0.001
,1932,523.6,96.78,0.997,520.84,44.98,0.41,0.35,0.017,0.001
,1933,523.25,96.71,0.996,520.49,44.98,0.41,0.35,0.017,0.001
,1934,522.91,96.64,0.995,520.15,44.97,0.45,0.38,0.019,0.001
,1935,522.55,96.56,0.995,519.79,44.97,0.6,0.51,0.025,0.001
,1936,522.06,96.46,0.994,519.3,44.97,0.63,0.54,0.026,0.001
,1937,521.55,96.35,0.992,518.79,44.96,0.64,0.55,0.027,0.001
,1938,521.05,96.25,0.991,518.3,44.96,0.69,0.59,0.029,0.001
,1939,520.53,96.14,0.99,517.77,44.95,0.62,0.53,0.026,0.001
,1940,520.09,96.05,0.989,517.33,43.66,0.69,0.58,0.028,0.001
,1941,519.59,95.95,0.988,516.86,43.51,0.7,0.59,0.029,0.001
