Category,Year,Abundance,Spawners,Spawners,Abundance,Recruitment,Catch,Catch,Fmort,Fmort,Fmort
Primary,,N,Y,N,N,Y,Y,N,N,N,Y
Description,,Total Biomass,Spawning Output(Eggs),Female Mature Relative Spawning Biomass SSB/SSB0,Age 8+ biomass,Abundance at Age 0,Modeled Total Catch,Modeled Total Catch,(1-SPR)/(1-SPR_50%),Relative Exploitation Rate (Catch/Age 8+ biomass),1 - SPR
Unit,,Metric Tons,Billions of eggs,Rate,Metric Tons,Number x 1000,Metric Tons,Number x 1000,Rate,Rate,Rate
,1889,10483.55,1190,1,10331.04,243.21,0.04,0.01,0,0,0
,1890,10483.53,1189.99,1,10331,243.26,0.13,0.05,0.001,0,0
,1891,10483.42,1189.98,1,10330.87,243.31,0.23,0.08,0.002,0,0.001
,1892,10483.24,1189.95,1,10330.66,243.35,3.89,1.29,0.025,0,0.013
,1893,10479.52,1189.49,1,10326.84,243.39,3.87,1.28,0.025,0,0.013
,1894,10475.93,1189.03,0.999,10323.1,243.44,3.96,1.31,0.026,0,0.013
,1895,10472.39,1188.57,0.999,10319.34,243.48,1.4,0.47,0.009,0,0.005
,1896,10471.53,1188.42,0.999,10318.16,243.53,0.79,0.27,0.005,0,0.003
,1897,10471.39,1188.34,0.999,10318,243.59,0.86,0.3,0.006,0,0.003
,1898,10471.32,1188.26,0.999,10317.89,243.64,0.86,0.3,0.006,0,0.003
,1899,10471.39,1188.19,0.998,10317.92,243.7,1.05,0.37,0.007,0,0.004
,1900,10471.38,1188.1,0.998,10317.9,243.77,1.19,0.41,0.008,0,0.004
,1901,10471.39,1188.01,0.998,10317.87,243.84,1.37,0.48,0.009,0,0.005
,1902,10471.35,1187.92,0.998,10317.8,243.91,1.53,0.53,0.01,0,0.005
,1903,10471.29,1187.82,0.998,10317.7,243.99,1.7,0.59,0.011,0,0.006
,1904,10471.19,1187.73,0.998,10317.57,244.07,1.94,0.67,0.013,0,0.007
,1905,10470.99,1187.62,0.998,10317.33,244.16,2.04,0.7,0.014,0,0.007
,1906,10470.83,1187.53,0.998,10317.13,244.27,2.2,0.76,0.015,0,0.007
,1907,10470.63,1187.44,0.998,10316.89,244.39,2.37,0.82,0.016,0,0.008
,1908,10470.41,1187.34,0.998,10316.61,244.54,3.5,1.19,0.023,0,0.012
,1909,10469.2,1187.13,0.998,10315.35,244.71,2.71,0.93,0.018,0,0.009
,1910,10468.9,1187.03,0.998,10315,244.9,2.89,1,0.019,0,0.01
,1911,10468.56,1186.93,0.997,10314.59,245.12,3.04,1.05,0.02,0,0.01
,1912,10468.22,1186.82,0.997,10314.18,245.35,3.22,1.11,0.022,0,0.011
,1913,10467.83,1186.71,0.997,10313.71,245.59,3.38,1.16,0.023,0,0.011
,1914,10467.44,1186.59,0.997,10313.21,245.82,3.56,1.23,0.024,0,0.012
,1915,10467.02,1186.47,0.997,10312.68,245.98,4.33,1.48,0.029,0,0.014
,1916,10466,1186.27,0.997,10311.54,246.04,3.89,1.34,0.026,0,0.013
,1917,10465.61,1186.14,0.997,10311.02,245.94,5.41,1.88,0.036,0.001,0.018
,1918,10463.88,1185.85,0.997,10309.16,245.58,22.79,7.63,0.142,0.002,0.071
,1919,10445.28,1183.51,0.995,10290.45,244.82,9.77,3.28,0.063,0.001,0.032
,1920,10439.92,1182.75,0.994,10285.01,243.52,8.96,3.02,0.059,0.001,0.029
,1921,10435.63,1182.11,0.993,10280.69,241.77,8.63,2.91,0.056,0.001,0.028
,1922,10431.89,1181.54,0.993,10277.01,239.52,6.45,2.18,0.043,0.001,0.021
,1923,10430.46,1181.25,0.993,10275.79,236.8,7.31,2.47,0.048,0.001,0.024
,1924,10428.26,1180.9,0.992,10273.96,233.63,12.11,4.07,0.078,0.001,0.039
,1925,10421.28,1180.01,0.992,10267.63,230.13,15.34,5.17,0.099,0.001,0.049
,1926,10411.03,1178.78,0.991,10258.3,226.44,22.35,7.51,0.141,0.002,0.07
,1927,10393.66,1176.75,0.989,10242.16,222.75,28.71,9.64,0.178,0.003,0.089
,1928,10369.71,1174.02,0.987,10219.73,219.25,28.25,9.51,0.176,0.003,0.088
,1929,10345.8,1171.4,0.984,10197.59,216.1,24.67,8.35,0.157,0.002,0.078
,1930,10324.74,1169.24,0.983,10178.51,213.4,27.75,9.41,0.175,0.003,0.088
,1931,10299.73,1166.75,0.98,10155.65,211.09,19.28,6.59,0.125,0.002,0.063
,1932,10281.94,1165.28,0.979,10140.07,209.02,17.95,6.23,0.117,0.002,0.059
,1933,10264,1163.97,0.978,10124.33,206.96,17.71,6.08,0.116,0.002,0.058
,1934,10244.69,1162.64,0.977,10107.08,204.64,21.89,7.5,0.142,0.002,0.071
,1935,10219.45,1160.75,0.975,10083.75,201.88,21.64,7.48,0.141,0.002,0.071
,1936,10192.58,1158.8,0.974,10058.57,198.74,29.21,9.99,0.187,0.003,0.094
,1937,10156.28,1155.81,0.971,10023.8,195.43,26.23,8.98,0.17,0.003,0.085
,1938,10120.97,1153.01,0.969,9989.92,192.41,27.89,9.51,0.181,0.003,0.09
,1939,10081.97,1149.81,0.966,9952.37,190.16,21.69,7.44,0.143,0.002,0.072
,1940,10047.01,1147.12,0.964,9918.94,189.14,30.28,10.36,0.197,0.003,0.099
,1941,10001.4,1143.17,0.961,9875.02,189.75,41.92,14.2,0.264,0.004,0.132
,1942,9942.27,1137.58,0.956,9817.65,192.52,43.9,14.79,0.271,0.004,0.135
,1943,9879.36,1131.49,0.951,9756.45,198.32,80.98,27.58,0.45,0.008,0.225
,1944,9778.22,1120.78,0.942,9656.72,208.5,86.5,30.46,0.514,0.009,0.257
,1945,9670.52,1109.25,0.932,9549.79,225.14,130.32,46.34,0.712,0.014,0.356
,1946,9518.87,1092.38,0.918,9398.01,250.22,119.04,41.7,0.661,0.013,0.33
,1947,9379.17,1076.61,0.905,9256.7,283.56,53.24,18.77,0.357,0.006,0.179
,1948,9306.04,1068.42,0.898,9180.13,314.83,61,21.31,0.397,0.007,0.199
